work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021e,MI,FT,Data Engineer,11.441977111345166,USD,11.441977111345166,US,0.0,US,M
2021e,MI,FT,Data Scientist,9.980494888896912,EUR,10.156112233172507,RS,4.61512051684126,DE,S
2021e,SE,FT,Machine Learning Engineer,15.404745967162468,INR,11.104099716229817,IN,0.0,IN,L
2021e,MI,FT,Data Scientist,14.038654909278163,INR,9.738023112808596,IN,4.61512051684126,IN,S
2021e,SE,FT,Data Analyst,10.896757843893464,EUR,11.072402965046662,DE,3.9318256327243257,DE,L
2020,SE,FT,Lead Data Scientist,12.154784614286667,USD,12.154784614286667,US,4.61512051684126,US,S
2021e,EN,FT,Big Data Engineer,13.997832948091215,INR,9.69720111828834,IN,4.61512051684126,IN,L
2021e,SE,FT,Data Scientist,11.813037464800539,USD,11.813037464800539,US,0.0,US,L
2021e,EN,FT,Machine Learning Engineer,9.952325334619427,EUR,10.127950233416236,DE,3.9318256327243257,DE,M
2021e,SE,FT,Data Science Manager,15.201805169084134,INR,10.90115548586615,IN,3.9318256327243257,US,L
2021e,SE,FT,Machine Learning Engineer,14.403296111754665,INR,10.102666226396506,IN,4.61512051684126,IN,L
2021e,EN,FT,BI Data Analyst,9.134862230800225,USD,9.134862230800225,KE,4.61512051684126,KE,S
2021e,MI,FT,Data Scientist,11.898194668458823,USD,11.898194668458823,US,3.9318256327243257,US,L
2021e,SE,FT,Research Scientist,11.699413330633599,CAD,11.475825701013202,CA,3.9318256327243257,CA,L
2021e,EN,FT,Machine Learning Engineer,9.991727341385536,USD,9.991727341385536,CO,3.9318256327243257,CO,M
2020,MI,FT,Data Scientist,14.914123179965662,INR,10.60861270985548,IN,0.0,IN,L
2021e,MI,FT,Data Engineer,8.294299608857235,USD,8.294299608857235,IR,4.61512051684126,IR,M
2020,EN,FT,Data Scientist,10.463131911491967,EUR,10.594557577300874,FR,0.0,FR,M
2020,MI,FT,Lead Data Analyst,11.373674891823535,USD,11.373674891823535,US,4.61512051684126,US,L
2021e,MI,FT,Data Engineer,9.99884318585288,EUR,10.174468433264497,RO,0.0,US,L
2021e,MI,FT,Data Scientist,11.248451977655328,EUR,11.424105180165641,DE,3.9318256327243257,DE,L
2021e,MI,FT,Big Data Engineer,14.32953167071273,INR,10.028885961930461,IN,0.0,IN,L
2021e,MI,FT,Data Scientist,12.948012371209098,INR,8.647519453091812,IN,4.61512051684126,US,S
2021e,MI,FT,Data Scientist,17.229953199271186,CLP,10.616412850287961,CL,4.61512051684126,CL,L
2021e,MI,FT,Data Scientist,10.859018228147887,EUR,11.0346638320775,DE,3.9318256327243257,AT,M
2021e,SE,FT,Machine Learning Infrastructure Engineer,12.180759965737863,USD,12.180759965737863,US,4.61512051684126,US,M
2021e,MI,FT,Data Scientist,10.373522431293592,EUR,10.549149966524329,ES,4.61512051684126,ES,L
2021e,EX,CT,Principal Data Scientist,12.938442943086665,USD,12.938442943086665,US,4.61512051684126,US,S
2021e,MI,FT,Data Scientist,10.61890979160975,GBP,10.943393170609585,GB,3.9318256327243257,GB,L
2021e,MI,FT,Data Scientist,14.731801689838349,INR,10.431170293368542,IN,0.0,IN,M
2020,MI,FT,Data Analyst,8.987321812850125,USD,8.987321812850125,PK,3.9318256327243257,PK,L
2020,EN,FT,Data Engineer,15.308414878861498,JPY,10.638016570874843,JP,4.61512051684126,JP,S
2020,EN,FT,Data Science Consultant,12.955129822091815,INR,8.649623978596727,IN,3.9318256327243257,IN,M
2020,MI,FT,Lead Data Engineer,10.933124826700707,USD,10.933124826700707,PT,4.61512051684126,US,M
2020,MI,FT,Machine Learning Engineer,12.608202196848836,CNY,10.676646671065457,CN,0.0,CN,M
2020,MI,FT,BI Data Analyst,11.49273296168228,USD,11.49273296168228,US,0.0,US,M
2021e,MI,FT,Data Engineer,10.778977123006351,GBP,11.103467395592086,HK,3.9318256327243257,GB,S
2021e,MI,FL,Data Engineer,9.90353755128617,USD,9.90353755128617,IT,0.0,US,L
2020,EX,FT,Director of Data Science,12.691583538230217,USD,12.691583538230217,US,4.61512051684126,US,L
2020,EN,FT,AI Scientist,12.611541086966115,DKK,10.734155034435489,DK,3.9318256327243257,DK,S
2021e,MI,FT,Data Science Engineer,10.434145214930487,EUR,10.609797719622355,GR,4.61512051684126,GR,M
2021e,EX,FT,Principal Data Engineer,13.304686600863562,USD,13.304686600863562,US,4.61512051684126,US,L
2021e,MI,FT,Data Scientist,11.150534214035387,BRL,9.472781556562168,BR,0.0,BR,S
2021e,EN,FT,Big Data Engineer,12.983103608918753,INR,8.682538124003075,IN,0.0,CH,L
2020,MI,FT,Data Scientist,10.518700218288165,EUR,10.650128105536073,FR,3.9318256327243257,FR,S
